type,category,title,authors,url,journal,vol,num,pages,date,first_date,publisher,abstract,notes,materials
publication,Redistricting and geography,Simulated redistricting plans for the analysis and evaluation of redistricting in the United States,"McCartan, Cory; Kenny, Christopher T.; Simko, Tyler; Garcia III, George; Wang, Kevin; Wu, Melissa; Kuriwaki, Shiro; Imai, Kosuke;",https://doi.org/10.1038/s41597-022-01808-2,Nature: Scientific Data,9,1,689,2022,2022,Nature Publishing Group UK London,"A collection of simulated congressional districting plans and underlying code developed by the Algorithm-Assisted Redistricting Methodology (ALARM) Project. The data allow for the evaluation of enacted and other congressional redistricting plans in the United States.  While the use of redistricting simulation algorithms has become standard in academic research and court cases, any simulation analysis requires non-trivial efforts to combine multiple data sets, identify state-specific redistricting criteria, implement complex simulation algorithms, and summarize and visualize simulation outputs.  We have developed a complete workflow that facilitates this entire process of simulation-based redistricting analysis for the congressional districts of all 50 states.  The resulting data include ensembles of simulated 2020 congressional redistricting plans and necessary replication data.  We provide the underlying code, which serves as a template for customized analyses.  All data and code are free and publicly available.",Covered by [*The New York Times*](https://www.nytimes.com/interactive/2025/08/21/upshot/up-massachusetts-redistricting.html).,"[Project website](https://alarm-redist.org/fifty-states/);
[Replication code](https://github.com/alarm-redist/fifty-states);
[Data](https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SLCD3E)"
publication,Differential privacy and the census,The use of differential privacy for census data and its impact on redistricting: The case of the 2020 U.S. Census,"Kenny, Christopher T.; Kuriwaki, Shiro; McCartan, Cory; Rosenman, Evan T.R.; Simko, Tyler; Imai, Kosuke;",https://doi.org/10.1126/sciadv.abk3283,Science Advances,7,41,eabk3283,2021,2021,American Association for the Advancement of Science,"Census statistics play a key role in public policy decisions and social science research. However, given the risk of revealing individual information, many statistical agencies are considering disclosure control methods based on differential privacy, which add noise to tabulated data. Unlike other applications of differential privacy, however, census statistics must be postprocessed after noise injection to be usable. We study the impact of the U.S. Census Bureau’s latest disclosure avoidance system (DAS) on a major application of census statistics, the redrawing of electoral districts. We find that the DAS systematically undercounts the population in mixed-race and mixed-partisan precincts, yielding unpredictable racial and partisan biases. While the DAS leads to a likely violation of the “One Person, One Vote” standard as currently interpreted, it does not prevent accurate predictions of an individual’s race and ethnicity. Our findings underscore the difficulty of balancing accuracy and respondent privacy in the Census.","Originally a Public Comment to the Census Bureau (May 28, 2021).

Covered by [*The Washington Post*](
https://www.washingtonpost.com/local/social-issues/2020-census-differential-privacy-ipums/2021/06/01/6c94b46e-c30d-11eb-93f5-ee9558eecf4b_story.html),
the [*Associated Press*](https://apnews.com/article/business-census-2020-technology-e701e313e841674be6396321343b7e49),
the [*San Francisco Chronicle*](https://www.sfchronicle.com/us-world/article/The-most-detailed-data-about-the-US-population-in-16378154.php),
[*NC Policy Watch*](
http://pulse.ncpolicywatch.org/2021/06/14/expert-census-bureaus-actions-to-protect-individual-privacy-could-have-big-impact-on-redistricting/), and others.","[FAQ](https://alarm-redist.org/posts/2021-06-02-das-evaluation-faq/);
[Reaction to the Bureau's Response](https://alarm-redist.org/posts/2021-06-09-dsep-decision-response/);
[Supplementary information](https://www.science.org/doi/suppl/10.1126/sciadv.abk3283/suppl_file/sciadv.abk3283_sm.pdf);
[Replication materials](https://doi.org/10.7910/DVN/TNNSXG)"
publication,Other,Geodesic interpolation on Sierpinski gaskets,"Davis, Caitlin; LeGare, Laura; McCartan, Cory; Rogers, Luke;",https://doi.org/10.4171/JFG/100,Journal of Fractal Geometry,8,2,117-152,2021,2019,European Mathematical Society,"We study the analogue of a convex interpolant of two sets on Sierpiński gaskets and an associated notion of measure transport. The structure of a natural family of interpolating measures is described and an interpolation inequality is established. A key tool is a good description of geodesics on these gaskets, some results on which have previously appeared in the literature.",NA,NA
working paper,Statistical methodology,Relative Bias Under Imperfect Identification in Observational Causal Inference,"Huang, Melody; McCartan, Cory",https://arxiv.org/abs/2507.23743,arXiv preprint,NA,NA,Under Review,2025,2025,NA,"To conduct causal inference in observational settings, researchers must rely on certain identifying assumptions. In practice, these assumptions are unlikely to hold exactly. This paper considers the bias of selection-on-observables, instrumental variables, and proximal inference estimates under violations of their identifying assumptions. We develop bias expressions for IV and proximal inference that show how violations of their respective assumptions are amplified by any unmeasured confounding in the outcome variable. We propose a set of sensitivity tools that quantify the sensitivity of different identification strategies, and an augmented bias contour plot visualizes the relationship between these strategies. We argue that the act of choosing an identification strategy implicitly expresses a belief about the degree of violations that must be present in alternative identification strategies. Even when researchers intend to conduct an IV or proximal analysis, a sensitivity analysis comparing different identification strategies can help to better understand the implications of each set of assumptions. Throughout, we compare the different approaches on a re-analysis of the impact of state surveillance on the incidence of protest in Communist Poland.",NA,NA
working paper,Redistricting and geography,Gerrymandering and geographic polarization have reduced electoral competition,"Jasny, Ethan; Kenny, Christopher T,; McCartan, Cory; Simko, Tyler; Wu, Melissa; Zhao, Michael Y.; Arora, Aneetej; Ebowe, Emma; O'Sullivan, Philip; Samarth, Taran; Imai, Kosuke",https://alarm-redist.org/papers/ggprec.pdf,preprint,NA,NA,NA,2025,2025,NA,"Changes in political geography and electoral district boundaries shape representation in the United States Congress. To disentangle the effects of geography and gerrymandering, we generate a large ensemble of alternative redistricting plans that follow each state's legal criteria. Comparing enacted plans to these simulations reveals partisan bias, while changes in the simulated plans over time identify shifts in political geography. Our analysis shows that geographic polarization has intensified between 2010 and 2020: Republicans improved their standing in rural and rural-suburban areas, while Democrats further gained in urban districts. These shifts offset nationally, reducing the Republican geographic advantage from 14 to 10 seats. Additionally, pro-Democratic gerrymandering in 2020 counteracted earlier Republican efforts, reducing the GOP redistricting advantage by two seats. In total, the pro-Republican bias declined from 16 to 10 seats. Crucially, shifts in political geography and gerrymandering reduced the number of highly competitive districts by over 25%, with geographic polarization driving most of the decline.",NA,NA
working paper,Statistical methodology,The Role of Confounders and Linearity in Ecological Inference: A Reassessment,"Kuriwaki, Shiro; McCartan, Cory",NA,preprint,NA,NA,NA,2025,2025,NA,"Estimating conditional means only with aggregate data is commonly known as the ecological inference problem (EI). We provide a reassessment of ecological inference: a formalization of the problem that differs from existing work, identification conditions, and an empirical characterization of how these conditions fail in common cases. In particular, the quantity of interest in EI is governed by a conditional expectation function, and identification requires estimating this function controlling for confounders. In this way, EI is similar to causal inference with observational data, but with aggregation contributing additional structure to assist in the estimation problem. Using this perspective, we clarify the differences between the EI methods commonly used in the literature, and explain when they lead to ecological fallacies. Illustrating with common EI problems in political science with datasets where true values are fortuitously observed, we find that methods are prone to overestimating racial polarization and underestimating ticket splitting, but covariates can help.",NA,NA
working paper,Redistricting and geography,Redistricting Reforms Reduce Gerrymandering by Constraining Partisan Actors,"McCartan, Cory; Kenny, Christopher T.; Simko, Tyler; Ebowe, Emma; Zhao, Michael Y.; Imai, Kosuke",https://arxiv.org/abs/2407.11336,arXiv preprint,NA,NA,Under Review,2024,2024,NA,"Political actors frequently manipulate redistricting plans to gain electoral advantages, a process commonly known as gerrymandering. To address this problem, several states have implemented institutional reforms including the establishment of map-drawing commissions. It is difficult to assess the impact of such reforms because each state structures bundles of complex rules in different ways. We propose to model redistricting processes as a sequential game. The equilibrium solution to the game summarizes multi-step institutional interactions as a single dimensional score. This score measures the leeway political actors have over the partisan lean of the final plan. Using a differences-in-differences design, we demonstrate that reforms reduce partisan bias and increase competitiveness when they constrain partisan actors. We perform a counterfactual policy analysis to estimate the partisan effects of enacting recent institutional reforms nationwide. We find that instituting redistricting commissions generally reduces the current Republican advantage, but Michigan-style reforms would yield a much greater pro-Democratic effect than types of redistricting commissions adopted in Ohio and New York.",NA,NA
working paper,Redistricting and geography,Individual and differential harm in redistricting,"McCartan, Cory; Kenny, Christopher T.;",https://osf.io/preprints/socarxiv/nc2x7/,SocArXiv preprint,NA,NA,Under Review,2022,2022,NA,"Social scientists have developed dozens of measures for assessing partisan bias in redistricting. But these measures cannot be easily adapted to other groups, including those defined by race, class, or geography. Nor are they applicable to single- or no-party contexts such as local redistricting. To overcome these limitations, we propose a unified framework of _harm_ for evaluating the impacts of a districting plan on individual voters and the groups to which they belong. We consider a voter harmed if their chosen candidate is not elected under the current plan, but would be under a different plan. Harm improves on existing measures by both focusing on the choices of individual voters and directly incorporating counterfactual plans. We discuss strategies for estimating harm, and demonstrate the utility of our framework through analyses of partisan gerrymandering in New Jersey, voting rights litigation in Alabama, and racial dynamics of Boston City Council elections.",NA,[Replication code](https://github.com/CoryMcCartan/harm-redistricting)
working paper,Redistricting and geography,Projective Averages for Summarizing Redistricting Ensembles,"McCartan, Cory;",https://arxiv.org/abs/2401.06381,arXiv preprint,NA,NA,NA,2024,2024,NA,"A recurring challenge in the application of redistricting simulation algorithms lies in extracting useful summaries and comparisons from a large ensemble of districting plans. Researchers often compute summary statistics for each district in a plan, and then study their distribution across the plans in the ensemble. This approach discards rich geographic information that is inherent in districting plans. We introduce the projective average, an operation that projects a district-level summary statistic back to the underlying geography and then averages this statistic across plans in the ensemble. Compared to traditional district-level summaries, projective averages are a powerful tool for geographically granular, sub-district analysis of districting plans along a variety of dimensions. However, care must be taken to account for variation within redistricting ensembles, to avoid misleading conclusions. We propose and validate a multiple-testing procedure to control the probability of incorrectly identifying outlier plans or regions when using projective averages.",NA,[Replication code](https://github.com/CoryMcCartan/proj-avg)
working paper,Redistricting and geography,Finding Pareto efficient redistricting plans with short bursts,"McCartan, Cory;",https://arxiv.org/abs/2304.00427,arXiv preprint,NA,NA,NA,2024,2023,NA,"Redistricting practitioners must balance many competing constraints and criteria when drawing district boundaries. To aid in this process, researchers have developed many methods for optimizing districting plans according to one or more criteria. This research note extends a recently-proposed single-criterion optimization method, short bursts (Cannon et al., 2023), to handle the multi-criterion case, and in doing so approximate the Pareto frontier for any set of constraints. We study the empirical performance of the method in a realistic setting and find it behaves as expected and is not very sensitive to algorithmic parameters. The proposed approach, which is implemented in open-source software, should allow researchers and practitioners to better understand the tradeoffs inherent to the redistricting process. </p>",NA,[Replication code](https://github.com/CoryMcCartan/redist-pareto)
other,NA,Candy cane shortages and the importance of variation,"McCartan, Cory;",https://isi-web.org/article/candy-cane-shortages-and-importance-variation,Statisticians React to the News,NA,NA,NA,"December 21, 2021",NA,International Statistical Institute,NA,NA,NA
other,NA,Where will the rocket land?,"McCartan, Cory;",https://isi-web.org/article/where-will-rocket-land,Statisticians React to the News,NA,NA,NA,"May 12, 2021",NA,International Statistical Institute,NA,NA,NA
other,NA,"Who’s the most electable Democrat? It might be Warren or Buttigieg, not Biden","McCartan, Cory;",https://www.washingtonpost.com/politics/2019/10/23/whos-most-electable-democrat-it-might-be-warren-or-buttigieg-not-biden/,The Washington Post,NA,NA,NA,"October 23, 2019",NA,NA,NA,NA,NA
other,NA,"I-405 Express Toll Lanes: Usage, benefits, and equity","Leung, Shirley; McCartan, Cory; Robinson, C.J.; Roshan Zamir, Kiana; Iverson, Vaughn; Hallenbeck, Mark;",https://www.wsdot.wa.gov/publications/fulltext/design/ConsultantSrvs/I-405ExpressTollLanes.pdf,NA,NA,NA,NA,2019,NA,Technical report for the Washington State Department of Transportation,"Congestion is increasing in cities around the country, and particularly in the Seattle region. Local governments are increasingly experimenting with congestion pricing schemes to manage congestion. The Washington State Department of Transportation (WSDOT) opened a congestion pricing facility in 2015 on I-405, which runs through the eastern suburbs of Seattle. The facility operates by selling extra space in the high-occupancy vehicle (HOV) lanes to single-occupancy vehicles (SOVs), and dynamically changing the price of entry to manage demand and keep the lanes operating. These combined HOV and tolled SOV lanes are called High Occupancy Tolling (HOT) lanes.

While the HOT lanes have been operative for over three years, there has been little research into the equity impacts of the lanes. Using data on each trip made on the I-405 HOT lanes in 2018, demographic data on census block groups, and lane speed, volume, and travel time data, we tried to answer this question. We studied how the express toll lanes are used, the benefits they provide to the region, and how these benefits are distributed among different groups of users.",NA,[Project website](https://uwescience.github.io/hot-lane-equity/)
